,Datum,Filiale,y_true,y_pred,rmspe
800234,2015-06-15,1,5518,7554.272449794575,0.36902364077466016
801147,2015-06-16,1,4852,7493.351629401033,0.5443840950950192
802394,2015-06-17,1,4000,7415.5719752636505,0.8538929938159127
803001,2015-06-18,1,4645,7354.673445483204,0.583352733150313
804534,2015-06-19,1,4202,7289.006600153691,0.7346517373045433
805091,2015-06-20,1,4097,7188.145958012203,0.7544901044696614
806087,2015-06-22,1,3846,7628.4977242851455,0.9834887478640524
807617,2015-06-23,1,3762,7546.362054023601,1.0059441929887296
809157,2015-06-24,1,3346,7468.951441918209,1.2322030609438759
810269,2015-06-25,1,3533,7359.894064876426,1.0831854132115555
810893,2015-06-26,1,3317,7336.197448032937,1.211696547492595
811822,2015-06-27,1,4019,7272.662755348603,0.8095702302434942
813106,2015-06-29,1,5197,7697.883962148597,0.48121684859507347
814553,2015-06-30,1,5735,7593.010565654433,0.32397743080286534
814882,2015-07-01,1,5223,7494.680948614958,0.43493795684758907
816291,2015-07-02,1,5558,7460.698910572508,0.3423351764254242
817091,2015-07-03,1,4665,7386.523581294925,0.5833919788413559
818710,2015-07-04,1,4797,7255.417691590963,0.5124906590767069
820294,2015-07-06,1,4359,7685.600933823793,0.763156901542508
820646,2015-07-07,1,3650,7637.713741423911,1.0925243127188797
821945,2015-07-08,1,3797,7577.336147506197,0.9956113109049769
822793,2015-07-09,1,3897,7538.2889820665005,0.9343825973996666
824056,2015-07-10,1,3808,7482.30994186076,0.9648923166651155
825657,2015-07-11,1,3530,7429.4540003435395,1.1046611898990197
826070,2015-07-13,1,5054,7944.393814733572,0.5719022189817119
827624,2015-07-14,1,5042,7845.725643137994,0.5560741061360559
828521,2015-07-15,1,4767,7728.08225339101,0.6211626291988694
830423,2015-07-16,1,4427,7666.696521549515,0.7318040482379748
831084,2015-07-17,1,4852,7523.394075390068,0.5505758605503025
832175,2015-07-18,1,4406,7460.235300053464,0.6931991148555298
832797,2015-07-20,1,4395,7824.048769667861,0.780215874782221
834604,2015-07-21,1,3558,7807.256799053459,1.194282405579949
835135,2015-07-22,1,3464,7771.76109489915,1.243579992753796
837096,2015-07-23,1,3769,7703.800938828441,1.0439906974869835
837586,2015-07-24,1,3706,7591.061755412142,1.0483167175963686
839211,2015-07-25,1,4364,7562.384009608213,0.7329019270412954
839642,2015-07-27,1,6102,8004.399752978206,0.3117665934084245
840947,2015-07-28,1,5011,7874.401033294707,0.5714230758919792
841682,2015-07-29,1,4782,7895.295927036757,0.6510447358922538
842799,2015-07-30,1,5020,7836.593042282329,0.5610743112116194
845009,2015-07-31,1,5263,7807.265155467961,0.4834248822853812
799713,2015-06-15,2,8106,7443.278516049322,0.08175690648293582
800718,2015-06-16,2,6243,6585.789544802916,0.05490782393126954
802032,2015-06-17,2,6924,5725.555401206773,0.1730855861919738
803099,2015-06-18,2,5154,4836.728401497647,0.06155832334155089
804101,2015-06-19,2,4926,3984.2642884717206,0.19117655532445785
804884,2015-06-20,2,3020,3118.307976219279,0.03255231000638385
806253,2015-06-22,2,4123,7337.77777290938,0.7797181113047246
807862,2015-06-23,2,4094,6467.587408072548,0.5797722051960302
808601,2015-06-24,2,4805,5593.1324115995085,0.16402339471373745
809265,2015-06-25,2,4022,4717.953064613859,0.17303656504571338
811012,2015-06-26,2,3953,3862.6923683683854,0.022845340660666492
811787,2015-06-27,2,2404,2983.3679183478816,0.24100162992840335
